W,qp,vbar,drobot,dped,PRE,split
1.5,10,1.3111140948501676,1.0533294511954716,0.0061344370218702204,171.70759882939356,0.5
1.5,20,1.2497697246314654,1.0688226787385802,0.009781719092055852,109.26736585664337,0.5
1.5,30,1.151952533710907,0.9624060863204776,0.008477617165725548,113.52318316654149,0.5
1.5,40,1.0671763620536514,0.9305251593561726,0.014875924908958327,62.55242380228792,0.5
1.5,50,0.9184171129640681,0.8087129760370528,0.045519688430455604,17.766223889528465,0.5
1.8,10,1.3100145338776559,0.008835623099381129,0.005868985319946241,1.5054771170329087,0.5
1.8,20,1.2513246806781935,0.013100289655601838,0.009306735477931283,1.407613839102451,0.5
1.8,30,1.1582573258988806,0.008111694506381939,0.008568991132298498,0.9466335512715256,0.5
1.8,40,1.0725674145758957,0.012234247632178397,0.010918059463405173,1.1205514746631289,0.5
1.8,50,0.9633868199418439,0.1848108568027752,0.015825494416410256,11.678046318169716,0.5
1.8,60,0.8051318757777414,0.33959068669161185,0.015825494416410256,21.458456700061962,0.5
2.1,10,1.3146914852288225,0.004038820654427511,0.004019400657736205,1.004831565286712,0.5
2.1,20,1.2744974786514605,0.007875384600557034,0.006585064480711678,1.1959464669821889,0.5
2.1,30,1.2086468338443437,0.006512710702246016,0.00621728307655336,1.047517158549009,0.5
2.1,40,1.14647400307881,0.042908276806364,0.006968274480683112,6.157661688745307,0.5
2.1,50,1.076791258271979,0.11463297243919046,0.00704801149103651,16.264583646746022,0.5
2.1,60,1.0063111433616139,0.5425368502013685,0.00704801149103651,76.97729365103245,0.5
2.4,10,1.323214791117803,0.0038973776512871705,0.002304505955077385,1.6911987763365521,0.5
2.4,20,1.300169731567029,0.006788985976905915,0.004136788086016807,1.6411249103752936,0.5
2.4,30,1.258801850706861,0.011323400168988584,0.004283394962738196,2.6435573341922236,0.5
2.4,40,1.215967901079479,0.0044013973802286,0.0026557348784807646,1.657318061336927,0.5
2.4,50,1.1894105522946714,0.018998996774601595,0.003597598665661317,5.2810217426265265,0.5
2.4,60,1.1534345656380582,0.03222406554058743,0.003597598665661317,8.957104039470158,0.5
2.7,10,1.3253897364641924,0.002013087992700724,0.0016135400194863924,1.2476219792438195,0.5
2.7,20,1.3092543362693285,0.004518466326153492,0.0037654351666635,1.1999851613850099,0.5
2.7,30,1.2715999846026935,0.010441042577978399,0.003806136786138681,2.743212649635437,0.5
2.7,40,1.2335386167413067,0.004289864452694969,0.002908777319928646,1.4747998835470162,0.5
2.7,50,1.2044508435420203,0.011671847865744711,0.0035130294002376104,3.3224452562097158,0.5
2.7,60,1.1693205495396441,0.020268620754232414,0.0035130294002376104,5.7695562561649805,0.5
3.0,10,1.3255845451506503,0.0006607877628186376,0.0012402760650215283,0.5327747438286393,0.5
3.0,20,1.313181784500435,0.004821729626203863,0.0036918988048778357,1.306029737281332,0.5
3.0,30,1.2762627964516566,0.008096866499050392,0.003819072267309931,2.1201134548715004,0.5
3.0,40,1.2380720737785573,0.004904316043120138,0.00307825871993177,1.593211126590699,0.5
3.0,50,1.2072894865792396,0.013273313924078156,0.003606066694669807,3.6808287388854133,0.5
3.0,60,1.1712288196325416,0.017115552155007707,0.003606066694669807,4.746321575334842,0.5
