W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,8.0,1.0,0,1.39,0.48,1.2558727344365783,5076,0.0640909090909105,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,1.0,8,1.39,0.48,1.2905750545310597,5043,0.0636742424242439,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,1.0,16,1.39,0.48,1.2686517734665952,5103,0.0644318181818197,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,1.0,24,1.39,0.48,1.334978283350584,4835,0.0610479797979813,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,20.0,1.0,2,1.39,0.48,1.2198122171945944,13260,0.1674242424242419,80,79,0.9875,BND-253918225-3|qp20
1.65,50.0,20.0,1.0,10,1.39,0.48,1.2092210184980776,13569,0.1713257575757553,80,80,1.0,BND-253918225-3|qp20
1.65,50.0,20.0,1.0,18,1.39,0.48,1.2131409206017647,13426,0.1695202020202012,80,82,1.025,BND-253918225-3|qp20
1.65,50.0,20.0,1.0,26,1.39,0.48,1.2673572772898702,12752,0.1610101010101009,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,8.0,1.0,4,1.39,0.48,1.2252593553168132,5398,0.0681565656565673,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,1.0,12,1.39,0.48,1.2254140960927833,5349,0.0675378787878804,32,33,1.03125,BND-253918225-0|qp8
1.65,50.0,8.0,1.0,20,1.39,0.48,1.254224220394119,5227,0.0659974747474763,32,34,1.0625,BND-253918225-0|qp8
1.65,50.0,8.0,1.0,28,1.39,0.48,1.2692645360030683,5194,0.0655808080808096,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,20.0,1.0,6,1.39,0.48,1.2467173182651037,13096,0.1653535353535345,80,78,0.975,BND-253918225-0|qp20
1.65,50.0,20.0,1.0,14,1.39,0.48,1.1864165334883192,13766,0.1738131313131313,80,78,0.975,BND-253918225-0|qp20
1.65,50.0,20.0,1.0,22,1.39,0.48,1.2130697021213452,13529,0.1708207070707068,80,80,1.0,BND-253918225-0|qp20
2.25,50.0,34.0,1.0,0,1.39,0.48,1.1813504411952445,23459,0.2172129629629641,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,34.0,1.0,8,1.39,0.48,1.1755900170648876,23440,0.2170370370370405,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,34.0,1.0,16,1.39,0.48,1.2396321040040317,22153,0.2051203703703738,136,134,0.9852941176470588,BND-873552517-2|qp34
2.25,50.0,34.0,1.0,24,1.39,0.48,1.2467441541206734,21853,0.2023425925925949,136,137,1.0073529411764706,BND-873552517-2|qp34
2.25,50.0,56.0,1.0,2,1.39,0.48,1.0977574689860967,40869,0.3784166666666675,224,217,0.96875,BND-873552517-2|qp56
2.25,50.0,56.0,1.0,10,1.39,0.48,1.1360288836056665,39538,0.3660925925925991,224,227,1.0133928571428572,BND-873552517-2|qp56
2.25,50.0,56.0,1.0,18,1.39,0.48,1.113611208493959,39934,0.3697592592592639,224,223,0.9955357142857144,BND-873552517-2|qp56
2.25,50.0,56.0,1.0,26,1.39,0.48,1.0932500972573154,41128,0.3808148148148185,224,222,0.9910714285714286,BND-873552517-2|qp56
2.25,50.0,34.0,1.0,4,1.39,0.48,1.1952125813449164,23050,0.2134259259259279,136,134,0.9852941176470588,BND-873552517-3|qp34
2.25,50.0,34.0,1.0,12,1.39,0.48,1.1957188845869255,22987,0.2128425925925951,136,136,1.0,BND-873552517-3|qp34
2.25,50.0,34.0,1.0,20,1.39,0.48,1.242872850038777,21919,0.2029537037037073,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,34.0,1.0,28,1.39,0.48,1.2091909155429668,22544,0.208740740740745,136,133,0.9779411764705882,BND-873552517-3|qp34
2.25,50.0,56.0,1.0,6,1.39,0.48,1.0051527675933702,45003,0.4166944444444484,224,223,0.9955357142857144,BND-873552517-3|qp56
2.25,50.0,56.0,1.0,14,1.39,0.48,0.9916858077693168,45539,0.4216574074074022,224,217,0.96875,BND-873552517-3|qp56
2.25,50.0,56.0,1.0,22,1.39,0.48,1.023573953700526,43845,0.4059722222222227,224,225,1.0044642857142858,BND-873552517-3|qp56
2.6,50.0,78.0,1.0,0,1.39,0.48,0.3155122020526549,147803,1.184318910256406,118,183,1.5508474576271187,BND-661246488-2|qp78
2.6,50.0,78.0,1.0,8,1.39,0.48,0.555818543437064,105083,0.8420112179487242,261,243,0.9310344827586208,BND-661246488-2|qp78
2.6,50.0,78.0,1.0,16,1.39,0.48,0.7292246383549655,75281,0.6032131410256393,203,223,1.0985221674876848,BND-661246488-2|qp78
