W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.5,50.0,50.0,1.0,0,1.39,0.48,1.1213959851468065,35817,0.2984749999999977,198,202,1.02020202020202,AMS-1073074102-0|qp50
2.5,50.0,50.0,1.0,12,1.39,0.48,1.135369387178705,35410,0.2950833333333282,198,190,0.9595959595959596,AMS-1073074102-0|qp50
2.5,50.0,50.0,1.0,24,1.39,0.48,1.125059126700039,34925,0.2910416666666665,198,191,0.9646464646464646,AMS-1073074102-0|qp50
2.5,50.0,50.0,1.0,6,1.39,0.48,1.0871080215065163,18413,0.1534416666666677,31,58,1.870967741935484,AMS-1351790552-1|qp50
2.5,50.0,50.0,1.0,18,1.39,0.48,1.004257456028566,19615,0.1634583333333344,8,37,4.625,AMS-1351790552-1|qp50
1.5,50.0,30.0,1.0,0,1.39,0.48,0.0241926580837055,126452,1.756277777777774,0,0,1.0,AMS-1386681638-13|qp30
1.5,50.0,30.0,1.0,12,1.39,0.48,0.0303413082437333,111600,1.5500000000000016,0,0,1.0,AMS-1386681638-13|qp30
1.5,50.0,30.0,1.0,24,1.39,0.48,0.0368749105225592,111760,1.5522222222222235,0,2,1.0,AMS-1386681638-13|qp30
1.5,50.0,52.0,1.0,6,1.39,0.48,0.0200370934959392,177120,2.4600000000000093,0,0,1.0,AMS-1386681638-13|qp52
1.5,50.0,52.0,1.0,18,1.39,0.48,0.0215053900692814,172354,2.393805555555563,0,0,1.0,AMS-1386681638-13|qp52
1.5,50.0,18.0,1.0,0,1.39,0.48,0.0481026159911183,142317,1.9766249999999976,0,0,1.0,AMS-1442153735-0|qp18
1.5,50.0,18.0,1.0,12,1.39,0.48,0.0479807794830027,140683,1.9539305555555464,0,0,1.0,AMS-1442153735-0|qp18
1.5,50.0,18.0,1.0,24,1.39,0.48,0.0476602968212301,141971,1.971819444444443,0,0,1.0,AMS-1442153735-0|qp18
1.5,50.0,8.0,1.0,6,1.39,0.48,0.0766335659331177,67068,0.9314999999999932,0,0,1.0,AMS-1442153735-0|qp8
1.5,50.0,8.0,1.0,18,1.39,0.48,0.0780231812283083,67037,0.9310694444444342,0,0,1.0,AMS-1442153735-0|qp8
1.5,50.0,18.0,1.0,0,1.39,0.48,0.6913006993006993,715,0.0099305555555557,6,29,4.833333333333333,AMS-234078234-1|qp18
1.5,50.0,18.0,1.0,12,1.39,0.48,0.6738895152198426,887,0.0123194444444446,24,38,1.5833333333333333,AMS-234078234-1|qp18
1.5,50.0,18.0,1.0,24,1.39,0.48,0.367374581939799,1794,0.0249166666666666,39,49,1.2564102564102564,AMS-234078234-1|qp18
1.5,50.0,8.0,1.0,6,1.39,0.48,1.0748888888888888,180,0.0024999999999999,3,9,3.0,AMS-234078234-1|qp8
1.5,50.0,8.0,1.0,18,1.39,0.48,0.0660273972602727,9125,0.1267361111111117,4,13,3.25,AMS-234078234-1|qp8
1.2,50.0,14.0,1.0,0,1.39,0.48,1.2235569661815069,9137,0.1586284722222224,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,14.0,1.0,12,1.39,0.48,1.2475461008664537,9002,0.1562847222222229,56,57,1.0178571428571428,AMS-244428233-0|qp14
1.2,50.0,14.0,1.0,24,1.39,0.48,1.2507620941021187,9054,0.1571875000000014,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,6.0,1.0,6,1.39,0.48,1.3158978494624043,3720,0.0645833333333331,24,24,1.0,AMS-244428233-0|qp6
1.2,50.0,6.0,1.0,18,1.39,0.48,1.3418881708345107,3559,0.0617881944444445,24,24,1.0,AMS-244428233-0|qp6
1.5,50.0,18.0,1.0,0,1.39,0.48,0.0309415246694489,93253,1.2951805555555531,0,0,1.0,AMS-4449179-0|qp18
1.5,50.0,18.0,1.0,12,1.39,0.48,0.0293142184557478,106200,1.4750000000000187,0,0,1.0,AMS-4449179-0|qp18
1.5,50.0,18.0,1.0,24,1.39,0.48,0.0291110565991504,105991,1.472097222222242,0,0,1.0,AMS-4449179-0|qp18
1.5,50.0,8.0,1.0,6,1.39,0.48,0.056394622955845,52222,0.7253055555555619,0,0,1.0,AMS-4449179-0|qp8
1.5,50.0,8.0,1.0,18,1.39,0.48,0.0573784463915116,54441,0.7561250000000005,0,0,1.0,AMS-4449179-0|qp8
2.5,50.0,12.0,1.0,0,1.39,0.48,1.231653885480578,3912,0.0326000000000005,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,12.0,1.0,12,1.39,0.48,1.286373713380847,3789,0.0315750000000004,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,12.0,1.0,24,1.39,0.48,1.300293724966609,3745,0.0312083333333336,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,30.0,1.0,6,1.39,0.48,1.2285443739296733,9927,0.0827250000000011,120,120,1.0,AMS-4480498-0|qp30
2.5,50.0,30.0,1.0,18,1.39,0.48,1.214087931718911,10076,0.0839666666666676,120,119,0.9916666666666668,AMS-4480498-0|qp30
1.5,50.0,18.0,1.0,0,1.39,0.48,0.2258524980174683,44135,0.6129861111111065,0,16,1.0,AMS-4480499-0|qp18
1.5,50.0,18.0,1.0,12,1.39,0.48,0.2051635119940515,64032,0.889333333333337,16,37,2.3125,AMS-4480499-0|qp18
1.5,50.0,18.0,1.0,24,1.39,0.48,0.2451621093750048,40960,0.5688888888888952,1,16,16.0,AMS-4480499-0|qp18
